descripcion,precio,tipoAplicacion,cantidad,costoUnidad,precioUnidad
FIBRA ESP.GO! COCINA ULTRA COC,"141,96",Multiuso,100,"1,41959","1,7744875"
FILM ADHER.PURITY 20M         ,320,Cocina,100,"3,2",4
FILM ADHER.ROLOPAC 100M       ,"1136,67",Cocina,100,"11,3667","14,208375"
FILM ADHER.ROLOPAC 300M 300mm ,"3469,31",Cocina,100,"34,6931","43,366375"
GUANTE MAPA CONTACTO CH. CONTA,"468,33",Cocina,100,"4,68326","5,854075"
GUANTE MAPA CONTACTO GDE CONTA,"468,33",Cocina,100,"4,68326","5,854075"
GUANTE MAPA CONTACTO MED CONTA,"468,33",Cocina,100,"4,68326","5,854075"
JAB.PAN ALA 200G              ,"301,29",Multiuso,100,"3,0129","3,766125"
JAB.PAN ALA 2UX200G           ,"482,79",Multiuso,100,"4,8279","6,034875"
MOPA MEDIA NJA ALG.BCA 4H ALG.,"943,26",Multiuso,100,"9,4326","11,79075"
MOPA VIRUL.EXTRA PLANA REP(100,"1822,75",Multiuso,100,"18,22749","22,7843625"
LANA ACERO SED METAL 70G MADEJ,"297,2",Cocina,100,"2,972","3,715"
LAV.AYUDIN A.SPLASH 1L ANTI SP,"365,42",Multiuso,100,"3,6542","4,56775"
LAV.AYUDIN A.SPLASH 2L ANTI SP,"642,51",Multiuso,100,"6,4251","8,031375"
LAV.AYUDIN CLASICA 1L CLASICA ,"267,41",Multiuso,100,"2,6741","3,342625"
LAV.AYUDIN CLASICA 2L CLASICA ,"528,42",Multiuso,100,"5,28419","6,6052375"
LAV.AYUDIN CLASICA 4L CLASICA ,"1017,61",Multiuso,100,"10,1761","12,720125"
LAV.AYUDIN GLACIAR 1L GLACIAR ,270,Multiuso,100,"2,69999","3,3749875"
LAV.AYUDIN GLACIAR 2L GLACIAR ,"548,13",Multiuso,100,"5,4813","6,851625"
LAV.AYUDIN GLACIAR 4L GLACIAR ,"1073,27",Multiuso,100,"10,7327","13,415875"
LAV.AYUDIN LAVANDA 1L LAVANDA ,270,Multiuso,100,"2,69999","3,3749875"
L.CREMA CIF BLANCO 375G BLANCO,"325,49",Multiuso,100,"3,2549","4,068625"
L.CREMA CIF BLANCO 750G BLANCO,"627,99",Multiuso,100,"6,2799","7,849875"
L.CREMA CIF LIMON 750G LIMON  ,"627,99",Cocina,100,"6,2799","7,849875"
L.CREMA LYSOFORM 450C         ,"678,61",Multiuso,100,"6,7861","8,482625"
L.INOD.HARPIC POW.CIT500c POWE,"672,48",Multiuso,100,"6,7248","8,406"
L.INOD.HARPIC POW.FR  500c POW,"667,5",Multiuso,100,"6,675","8,34375"
L.INOD.HARPIC POW.PL.ORIG500c ,"667,5",Multiuso,100,"6,675","8,34375"
L.INOD.HARPIC REMOV.SARRO 500C,"667,5",Multiuso,100,"6,675","8,34375"
LIM.AYUDIN LAVANDA 900C LAVAND,"401,72",Multiuso,100,"4,0172","5,0215"
LIM.AYUDIN MARINA 900C MARINA ,"435,6",Multiuso,100,"4,356","5,445"
LIM.BLEM M/SUP.CITRUS 360C CIT,"558,37",Cocina,100,"5,5837","6,979625"
LIM.BLEM M/SUP.CITRUS D/P.450C,"341,7",Cocina,100,"3,417","4,27125"
LIM.BLEM M/SUP.CITRUS GAT.500C,"762,2",Cocina,100,"7,622","9,5275"
LIM.BLEM PISOS PLASTIF800c PIS,520,Piso,100,"5,2","6,5"
LIM.CIF ANTIG.D/P 450C ANTIGRA,"264,99",Cocina,100,"2,6499","3,312375"
LIM.CIF ANTIG.PROF.BOT.5L ANTI,"2388,27",Cocina,100,"23,8827","29,853375"
LIM.CIF BAÑO DP 450C BAÑO DOYP,"264,99",Multiuso,100,"2,6499","3,312375"
LIM.CIF BAÑO GAT. 500C BAÑO CO,"470,69",Multiuso,100,"4,7069","5,883625"
LIM.CIF OXIGEL PISOS 750C OXIG,"567,49",Multiuso,100,"5,6749","7,093625"
LIM.CIF PISOS PLAST.DP450C PIS,"325,49",Piso,100,"3,2549","4,068625"
LIM.CIF PISOS PLASTIF.5L PISOS,"2934,41",Piso,100,"29,34409","36,6801125"
LIM.CIF PISOS PLASTIF750C PISO,"543,29",Piso,100,"5,4329","6,791125"
